# artistid|name
# http://modarchive.org/index.php?request=view_artist_roster&page=1#mods
69651|$volkraq
68839|(M)Rated
68787|*TeChNoBoT*
68795|-Deimos-
84738|-DJNASSE-
81202|240-185
85023|25mm
84824|451
83235|4516n41
83394|4mat
85263|5KYN3T
69404|6maniac
69604|7th Fantasy
83154|8bitbubsy
68792|986 &amp; Dwayne
68749|a!!? DR SUDS ?
82910|a-lin
69467|AaRD
69356|Aaron Doucet
68825|Aberration
69312|abyss
69177|AceCream
69048|acidbox
69186|AcidDose
69166|AcidSoul of Lemonride
68848|Acoustic
68802|Acumen
84722|adbLc
69213|Advertise-Play
84220|aemantaslim
84855|AftaLife
68815|Agent Mulder
82752|agentz
69148|agh
69511|Agony
68917|Aguero
68886|Ahlin
69320|aiken
80887|AiO
69084|aka hap
# http://modarchive.org/index.php?request=view_artist_roster&page=2#mods
69573|Akron
81205|AL-X
68782|Alex Parker(Alderon)
68788|Alex Smith
69699|alexanderbrandon
82504|AlexyeNov
69574|Alfons
81469|algar
80440|AlienXXX
69660|Allister Brimble
69518|Alli_Gee
69379|AlMo
81939|almoujtahed
69575|Alpha
77798|Alpha C
80443|am-fm
69411|Amoryllis
69419|Amusement(Metal Freak)
81604|an0va
68818|Anaconda
68757|Anak
69576|Anatoly N.K.
82757|Ancient Amazon Artifact
68826|Anders Akerheden
81682|Anders Dator Felix Dator
69103|Anders Hammar
68934|Andreas
68766|Andreas Viklund
84896|andrelisboa1
68972|Andromeda
82074|Andy  Abstract
69444|Andy Abstract
85332|Annuluz
82705|ant1
80569|Antic
69275|Anubis
69413|anvil
81193|aprocks
69056|Aqualife
69577|Arachno
# http://modarchive.org/index.php?request=view_artist_roster&page=3#mods
68794|Aragorn
69578|Arcc
69038|ArchAngel
69579|Archaos
83130|Archon
69244|Archyx
69117|arcturus
69018|Area 51 DNA
69422|Argh!
81723|arinlares
82933|arlen
81907|Arne Puszelski
69251|arnola
84081|Arnoldtje
85211|ArtRemix
82157|Artsii
69580|aRTy
69051|Ascender
84641|ascenders
81847|Ashley Carr
82453|Ashley Mayhem
81840|asmodeus
81615|Astaldo
69139|audiomonster
69338|Aureate
69401|aurinkokuningas
69192|Autumns Child
69418|Aux
69553|Awesome
68873|AXI
68982|Axis
80819|AxonInfraction
68999|aymes
69021|Ayodeji O.
84144|azaazaza909
68974|Azo (Jesse Worley)
82304|Azop Corp
69581|B-612
68985|BabelFish
82131|babydee
# http://modarchive.org/index.php?request=view_artist_roster&page=4#mods
