# genre 20 = Classical
# modid|genre|filename|score
# http://modarchive.org/index.php?query=20&request=search&search_type=genre&page=1#mods
# http://modarchive.org/index.php?query=20&request=search&search_type=genre&page=2#mods
34594|20|chariot.s3m|8
55514|20|plink.mod|2
63572|20|toccata.mod|6
55924|20|sdmevil.xm|5
50912|20|op_swm.xm|8
57630|20|snu_-_sonatina_in_e_major.it|
35195|20|baroque_.mod|7
62134|20|x5erd.it|8
51353|20|mg_opus.it|10
43501|20|gh-tst.xm|8
52114|20|nz_empt.xm|8
50769|20|onlythre.xm|5
36111|20|dark_cas.mod|9
155945|20|duet-number-1.it|8
51238|20|nmtricks.xm|7
73110|20|ackoo.s3m|10
63840|20|ww.xm|7
50141|20|oddity.mod|5
135143|20|the_hordes_amassed.xm|9
58770|20|0-021.xm|7
47173|20|k9_symph.xm|6
43497|20|gh-tcv.xm|
120901|20|gh-cof.xm|9
50451|20|oldsmoke.mod|5
166282|20|lamb_-_dom.xm|
55612|20|scaryorg.s3m|5
47763|20|king-aurthers-madriegle-v2.xm|5
61421|20|wc_jorga.xm|5
62662|20|timele.it|9
35397|20|damngood.s3m|4
155796|20|snu_-_sonata_no_1_in_d_minor.it|
140594|20|daemon.xm|9
54899|20|pianocon.it|8
38911|20|brothers.it|6
156859|20|priam-and-achilles.it|7
173505|20|if_crystals.mod|7
161397|20|symphn02.mod|8
56296|20|praelud1.xm|4
155533|20|carnival-song.it|7
62724|20|xmasprt.xm|7
49515|20|nature.xm|10
62917|20|wiene.xm|1
62143|20|x5tjm.it|4
73445|20|clifftop_chant.s3m|7
43476|20|gh-epic8.xm|9
43474|20|gh-epic.xm|10
159106|20|dal195.it|
32718|20|abyss.mod|3
44872|20|harp.xm|3
47326|20|lamanera.it|5
140478|20|of_myth_and_legend.xm|10
47826|20|kissfar.xm|4
165947|20|lamb_-_the_notebook.xm|7
49472|20|natu-pia.xm|5
64272|20|trilogy3.s3m|4
32893|20|adagiomc.it|3
32892|20|adagio.mod|2
52456|20|morgenst.mod|8
35311|20|casino.mod|5
54977|20|pic-sona.it|5
47899|20|klim.mod|8
55940|20|sdmland.mod|8
50000|20|ober1.xm|6
35089|20|canonind.xm|6
165797|20|lamb_-_loneliness.xm|8
35087|20|canonind.it|8
43485|20|gh-jour2.xm|10
35083|20|canon.mod|
43942|20|furelis2.mod|7
84669|20|ode_to_grieg.mod|7
43764|20|fugeg.mod|5
170520|20|jk_easerag.it|9
58361|20|t2000.xm|7
34570|20|canon.mod|1
166336|20|lamb_-_farewell_tears.xm|8
60894|20|waters.xm|6
42725|20|gabe_4.xm|6
166339|20|lamb_-_memoirs.xm|
155022|20|study-for-strings-chip1.it|7
