# artistid|name|score|downloads|rating|avgdownloads
# http://modarchive.org/index.php?request=view_chart&query=topartists&page=1#mods
69185|Purple Motion|8|737845|162|7849
69140|Dr. Awesome|7|315275|50|1163
68765|warhawk|5|311131|61|857
69553|Awesome|8|302380|84|2584
69271|Necros|8|299886|88|3998
69008|xtd|7|285357|74|710
69004|Elwood|9|284876|62|18992
69569|jogeir-liljedahl|8|271189|100|1507
69067|minomus|8|268834|32|4801
69572|Skaven252|8|262538|168|3202
68745|Lizardking|8|245236|59|885
69162|Gammis of Lemonride|6|241855|22|695
69038|ArchAngel|7|218690|36|2543
68906|Moby|8|210514|58|1144
69007|Nightbeat|8|205966|69|3376
69469|maktone|7|201923|24|1294
69001|Beathawk|7|195461|40|865
68766|Andreas Viklund|8|192250|39|2958
68802|Acumen|8|191834|24|8720
69138|Jester|8|190056|56|2022
69181|Ceekayed|8|185572|54|1182
68760|Ghidorah|8|175721|50|2143
69618|Gronda Gronda|4|172038|35|2647
68954|Beldoroon|8|171870|21|1109
68767|TSEC|7|154232|35|6426
69242|u4ia|7|152217|46|945
69198|cyborg jeff|7|149124|11|1001
68961|DreaMSectioN|8|140255|43|2191
68755|Rapture|8|139867|34|3681
69043|DJ Bourg|8|139502|16|2022
69279|Bass System|7|137185|28|460
69169|HyoChan|8|129703|63|410
68979|Stamen|7|126683|17|1293
68947|smirk|7|126128|23|970
68744|Damien Blond|6|126016|32|2291
69626|Magnus|5|123633|56|1873
69161|Reed Richards|8|123354|45|1011
69585|Cactus|5|120925|26|3455
68974|Azo (Jesse Worley)|7|117312|30|3450
68853|Church of Selene|8|117229|18|2548
# http://modarchive.org/index.php?request=view_chart&query=topartists&page=2#mods
69048|acidbox|6|115598|3|5505
68881|DipA|7|115341|31|3295
69170|maf|7|114863|24|424
68771|xerxes|8|110413|57|620
68825|Aberration|7|110349|32|4244
69340|PaleDeth|5|109698|3|463
68819|LittleElk|7|107891|22|1713
69018|Area 51 DNA|8|107727|51|2627
69580|aRTy|7|107693|17|4142
69567|radix|8|107248|142|687
69079|Daedalus|7|106621|15|4636
69552|Basehead|8|105778|22|853
69122|BadliZ|7|104714|6|2182
69631|Mick Rippon|8|102440|28|1933
69647|Timelord|8|99575|22|4149
82275|lackluster|6|96300|39|875
69086|JosSs|8|94159|27|673
68977|Mad God|7|93876|21|1565
69056|Aqualife|7|91394|8|1865
69561|Sidewinder|7|91199|19|793
83766|Jeroen -WAVE- Tel|8|90049|64|1876
68895|distance|6|89897|35|1550
68999|aymes|8|88444|30|1769
68943|Blasa|6|86299|13|1415
80552|Black Toad|6|86280|16|1166
68826|Anders Akerheden|7|85453|3|4069
68988|Reptile and Sky|8|84536|17|5636
68904|WAVE|8|84313|64|1757
69529|robric|6|83218|36|175
68751|Boomerang|6|80439|33|2117
69660|Allister Brimble|8|80006|13|257
68788|Alex Smith|6|79052|16|1146
68749|a!!? DR SUDS ?|7|78856|21|2719
69183|doh|8|78684|11|1830
83394|4mat|8|78076|32|207
68812|Sandman|6|76729|25|1744
69042|swallow|9|75367|17|15073
69171|Karsten Koch|9|73768|25|6706
84747|TDK|6|73632|8|342
68928|pOW|8|72841|24|3469
# http://modarchive.org/index.php?request=view_chart&query=topartists&page=3#mods
69587|C.C. Catch|6|71921|11|4795
68787|*TeChNoBoT*|6|71846|29|1529
68789|SB-Trance|7|71734|17|1055
69065|Virgill|7|70701|8|1334
69211|Deep Throat |7|70423|7|1036
69513|Jakim|8|69485|87|219
68758|The Nuke|7|68508|23|1223
69378|Butch|9|67718|7|2822
69633|Ng Pei Sin|7|67628|7|2705
69177|AceCream |9|67392|3|8424
69160|Vogue|8|66842|15|3342
68764|tbo|8|66385|14|3018
68992|Mempheria|8|65069|11|879
68962|Sandro R.|5|64622|24|2585
68870|PmI|6|63828|29|1388
68879|Gopher|8|63605|32|2544
69202|Cooth|7|62784|8|1365
68841|Gargoyle|7|62736|20|2241
69139|audiomonster|8|61758|17|1544
82208|The Music Wizard|6|61380|7|458
68750|Cam Smith|6|61390|20|2193
69348|DavidN|8|60975|20|938
69156|cRim of Lemonride|8|60428|10|1511
68762|Haggeman|8|60388|14|2416
69621|Leviathan|8|60365|16|5488
68922|Mystical|7|59855|12|4275
69334|DCE|7|58597|7|1628
69036|jerry|7|58542|16|1582
68793|Jo Po Productions|6|58274|13|2081
69424|Xaser|8|58263|15|244
69010|Farmer|5|58185|5|3637
68799|Qumran|7|57877|17|2894
68783|Dj Dafuki|4|57695|20|2137
68768|Cyclone|8|57030|18|4074
69610|HMW|7|56613|9|2831
69275|Anubis|8|56557|8|3327
69557|mellow-d|7|56503|12|342
68973|Myvoice|8|55258|11|3250
69000|warder|9|54805|27|6089
68930|Nobuyuki|6|54348|21|688
# http://modarchive.org/index.php?request=view_chart&query=topartists&page=4#mods
69656|Wraith|7|52657|12|2289
68863|laamaa|7|51325|13|870
69147|Decibelter|8|51108|35|2839
68777|Mr. Stewe |7|50946|26|2316
69146|Electro Bastard|3|50644|8|7235
69030|MrGamer|7|50447|20|407
69467|AaRD|7|49814|3|2622
69689|romeoknight|8|49753|19|440
68993|SaxxonPike (SPK) OLD|7|49741|2|873
69094|n3 (necros)|7|48597|4|6075
68820|Dario@|7|48552|14|2023
68775|Opinash|7|48511|12|1866
68960|norfair|8|48489|24|3031
68784|Norg|6|48452|25|1864
69589|Counterpoint|8|48421|21|4035
68931|Justin Owens|5|47855|15|1772
69276|Frostbite|5|47195|13|2622
69105|Ivory|9|46886|6|2468
69141|m0d|7|46414|54|844
69583|BAM|6|45394|10|4539
69131|firefox|8|45323|8|5665
68920|The Nightstalker|7|45263|18|1811
69295|Joseph Collins|6|44932|5|326
68886|Ahlin|2|44899|18|2041
69019|Siiw|7|44864|14|2136
68846|GottCL|5|44096|8|2205
69302|Cynmusic|8|44003|15|1158
68896|RabiteMan|5|43917|16|2745
68883|Morgan|6|43713|8|1561
69031|Space Walk|7|43566|1|3112
69640|QuietSound|5|43543|6|6220
69002|Bazaar|9|43342|5|3940
69217|WandererOfDeis|7|43319|21|1083
68836|St3vor|7|42701|17|1220
68848|Acoustic|7|42590|5|4259
68877|_Matt_|5|42291|17|1762
69627|MC Dreamer|8|42135|6|10534
68991|chavez|8|41946|8|2622
69658|_zETA_|6|41893|11|2793
69657|ZackmanO|7|41444|7|1974
# http://modarchive.org/index.php?request=view_chart&query=topartists&page=5#mods
69597|Dionysos Industries|8|40732|5|6789
68791|Llageran|7|40620|3|1934
69277|John Marwin|7|40554|7|966
69643|Siren|8|40439|20|2379
69498|Rage|8|39933|6|644
69236|unlimit|6|39624|4|3962
68850|lasombra|7|39502|11|2195
69413|anvil|9|39453|8|9863
82156|DNA-Groove|9|39391|9|856
68805|Marki|6|39190|13|1120
69699|alexanderbrandon|8|39139|19|2609
69059|the Deviant|7|39064|7|2604
69637|Dj Phantom|5|38636|18|1840
69466|Darth Nefelim|9|38511|2|1674
68864|melcom|6|38212|7|1415
81510|JaseChong|7|38163|11|3469
68782|Alex Parker(Alderon)|6|38151|2|2543
69143|Nemesis|8|37995|7|1583
69646|Dj thumb-boy|4|37464|16|1703
68847|ONE MAN PROJECT|7|37344|15|2873
69150|slash|8|37316|8|691
68934|Andreas|6|37246|11|1552
69120|Big Jim|8|37230|6|4137
69312|abyss|7|37016|2|3085
68781|Chimera|6|36630|11|1526
68914|uctumi|7|36551|13|665
69148|agh|5|35710|2|1879
69650|Uncle Tom|6|35667|10|525
68935|Zandax|6|35460|14|1542
69600|DJKiKE|5|35219|4|4402
69186|AcidDose|7|35174|1|1759
69641|Ryan Cramer|7|35151|8|5022
69638|Phoenix|6|35150|15|2704
68769|Dawn 7am|6|35123|8|3903
69578|Arcc|6|35028|4|5004
68809|SubSonic Freak|6|34964|7|3885
69352|V.E.M|8|34916|3|685
68753|Zepsi|8|34672|4|2477
68798|neoblaze|7|34477|18|1642
80314|Pip Malt|7|34414|94|229
