# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=1#mods
58842|00002.it|4|10
58850|00005.it|4|10
58941|007.mod|4|10
59018|028djzjack_country.it|4|10
59202|0700.it|4|10
59384|10bb.xm|4|10
59422|111.mod|4|10
60614|2fun2btr.xm|4|10
60833|3000.mod|4|10
60905|360degr.xm|4|10
61239|4ever.s3m|4|10
66427|4mat-menu1.mod|4|10
154744|5000suomalaisia.it|4|10
61452|5remix.s3m|4|10
61468|5th.it|4|10
61794|7th_oddy.xm|4|10
61884|83.xm|4|10
61945|8t-sumti.xm|4|10
32405|a-----03.it|4|10
32417|a--urban.it|4|10
32419|a-00.xm|4|10
32431|a-01aaac.xm|4|10
32436|a-2.xm|4|10
32556|a0d_agep.xm|4|10
32557|a0d_colr.xm|4|10
32565|a0d_time.xm|4|10
32618|aaaaooo.xm|4|10
32619|aaaarrgh.xm|4|10
32620|aaafeelx.xm|4|10
32711|abstrcpp.it|4|10
32766|acc-rave.xm|4|10
32794|aces.mod|4|10
168551|acetylphosphat.mod|4|10
166617|acid_house_80s.mod|4|10
32362|aerodyn.mod|4|10
33014|afternoo.xm|4|10
33004|after_j.mod|4|10
33020|aftrain.mod|4|10
32367|aftrmath.s3m|4|10
33104|agonymod.mod|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=2#mods
33287|alive.xm|4|10
33339|alone.mod|4|10
170257|alpha_c_-_the_duck_with_no_name.it|4|10
33365|alt_real.mod|4|10
154939|am-fm_-_game_over.mod|4|10
102136|amanita.mod|4|10
33460|amigatre.mod|4|10
133559|appel.mod|4|10
154815|aqua_mor.xm|4|10
33898|arabian_nights.it|4|10
126735|artificially_-fix.mod|4|10
167014|ash_emoflow.it|4|10
119173|ash_of_my_body.mod|4|10
98517|assosong.mod|4|10
34146|astro-bo.xm|4|10
34203|atn-303p.xm|4|10
34273|aurora.it|4|10
34306|aux-dc4b.it|4|10
34315|av_ajv.xm|4|10
69227|awesome.s3m|4|10
32394|axelf.mod|4|10
142351|axlhard9.xm|4|10
34492|ayd.s3m|4|10
34531|azo_pc1.it|4|10
32602|a_robyn.mod|4|10
34613|b-boy.it|4|10
34624|b-man.it|4|10
167660|baba_yetu.it|4|10
34858|bacardi.mod|4|10
34873|back.mod|4|10
115627|backdraft.mod|4|10
34943|badagain.xm|4|10
34952|badformt.mod|4|10
34986|badweek.xm|4|10
34994|baghdad.xm|4|10
35016|bakfull.xm|4|10
157333|balrog_-_poop_corn.xm|4|10
35110|bam-beli.xm|4|10
35120|bam-star.xm|4|10
35159|banjo.s3m|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=3#mods
64656|barbie.xm|4|10
35385|bathroom.xm|4|10
35529|bbsynthu.xm|4|10
35576|bd_cally.xm|4|10
36033|beautifulgirl.xm|4|10
65822|bee-hive.it|4|10
36109|beek.xm|4|10
36113|beepy.mod|4|10
36159|beginnings.xm|4|10
36162|begun.xm|4|10
36174|behind.xm|4|10
36332|berra.mod|4|10
36801|birthday.mod|4|10
36915|bj2_7.it|4|10
37090|black2.xm|4|10
152733|blackout.xm|4|10
37435|blastme.xm|4|10
37703|bluebox.xm|4|10
121170|bolero.mod|4|10
121171|boleroshrimpstro.mod|4|10
107339|bomb_the_bass.mod|4|10
162498|bonuz.it|4|10
38782|bridge.mod|4|10
39198|bt_me_dw.xm|4|10
39290|bubble.xm|4|10
34598|bwaters.s3m|4|10
34721|b_kickas.xm|4|10
34769|b_stars.xm|4|10
34724|c-ds.xm|4|10
34991|callange.xm|4|10
35074|cannibal.xm|4|10
35440|cave06.s3m|4|10
36068|cha16.it|4|10
36309|chatcall.mod|4|10
36377|cheers.xm|4|10
36412|cherry.xm|4|10
118630|chink_a_chip.mod|4|10
36780|chipie.xm|4|10
171204|chip_tune_erk_16.xm|4|10
34614|chronicl.mod|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=4#mods
38699|compojazzy.xm|4|10
38781|computer.xm|4|10
39005|cool1.mod|4|10
