# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=1#mods
59113|04f.xm|10|10
59450|118in64.xm|10|10
74883|12oz.s3m|10|10
149884|16lat.xm|10|10
158975|1_channel_moog.it|10|10
59963|1_djb_sdm.xm|10|10
60750|2peaks.mod|10|10
61172|486.xm|10|10
61683|70sporn.xm|10|10
158180|81030-psychotech.mod|10|10
170225|83623-blinded.xm|10|10
172123|84692-im_the_freak.xm|10|10
61921|8g_crim.xm|10|10
169109|a-lin_throughtheborde.it|10|10
32516|a-polar.it|10|10
155213|a2_vorgestern.it|10|10
32725|ac-ddd.it|10|10
32728|ac-inqst.it|10|10
32731|ac-ll.mod|10|10
32739|ac-pb.it|10|10
154974|aceman_-_mortal_combat.xm|10|10
73110|ackoo.s3m|10|10
147059|aerosol-97_houz_mix.xm|10|10
33040|age.xm|10|10
138820|ajoj.xm|10|10
120875|alchemist2.mod|10|10
154743|alexs_74th.it|10|10
153944|alf2_zalza_edit.xm|10|10
158057|alf_-_no-mercy.mod|10|10
150366|alice_cooper.xm|10|10
33257|alicia.mod|10|10
118004|alien_radiation.mod|10|10
146576|alien_threat.xm|10|10
33337|alone-mr.it|10|10
164062|alphacentauri-roguegrooves.it|10|10
154936|am-fm_-_introtune2.xm|10|10
33413|amber.it|10|10
72075|amigaripp.s3m|10|10
169582|analogis.xm|10|10
137652|analogue_hotsteps.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=2#mods
33559|ancientstories.xm|10|10
32378|andante.mod|10|10
157927|anders_lundqvist_-_on_the_run.mod|10|10
166017|andromeda_and_evade_-_goatage.xm|10|10
169575|and_i_will_ever_be.xm|10|10
33638|anne.it|10|10
33699|anu_acid.it|10|10
145281|appelsap_track_9_-_appel9.xm|10|10
33783|ap_sasja.xm|10|10
84142|arctica.mod|10|10
144317|arctic_white_wolves.xm|10|10
33930|arena1.s3m|10|10
33931|arena2.s3m|10|10
34017|ars.mod|10|10
32398|art_of_chrome.xm|10|10
34038|aryx25_b.xm|10|10
163525|ar_gazer.it|10|10
158049|ascender_-_overscan.mod|10|10
34143|astralrm.it|10|10
34148|astro2.mod|10|10
32399|att.mod|10|10
134316|aural_sunflower_compo.xm|10|10
135837|auricoms_theme.xm|10|10
34413|aws_anew.xm|10|10
34414|aws_aq16.xm|10|10
34419|aws_beyo.xm|10|10
34423|aws_dawn.xm|10|10
34429|aws_fast.xm|10|10
34447|aws_nite.xm|10|10
34449|aws_ox9f.xm|10|10
34455|aws_spac.xm|10|10
137583|ayla_megamix.xm|10|10
34512|azo_13.it|10|10
34514|azo_btrm.it|10|10
34541|azo_son.it|10|10
134705|a_day_without_her.xm|10|10
137457|a_different_existenz.xm|10|10
133825|backflip.xm|10|10
35071|ballada.mod|10|10
35114|bam-luc.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=3#mods
76530|barilla01.mod|10|10
141704|bartezz-on_the_move.xm|10|10
171416|bass-1107.mod|10|10
35477|baz_ii.s3m|10|10
66109|beams_of_light.mod|10|10
35902|beast2.mod|10|10
156150|beastmasters_tale.it|10|10
66880|beek-blue_slide.it|10|10
170504|beek_and_virt_-_fruitbat.it|10|10
140593|beelzebub.xm|10|10
34557|bellsfd.mod|10|10
36409|between2.mod|10|10
36492|beyondim.mod|10|10
140383|beyond_the_gates.xm|10|10
156184|beyond_the_network.it|10|10
36538|bfbeyond.xm|10|10
173600|bird_on_a_tree.xm|10|10
157632|black_fox_-_heatwave.xm|10|10
89637|black_queen.mod|10|10
123345|black_striker.mod|10|10
37210|bladswed.mod|10|10
37370|blasa_party.it|10|10
34564|bloodm.mod|10|10
134320|blue_phoebe_love.xm|10|10
138030|boberek.xm|10|10
151878|boobs.xm|10|10
34575|bopflop.mod|10|10
173497|border_of_insanity.xm|10|10
102874|bre.mod|10|10
102912|breakout_remix.mod|10|10
38659|breaks8.xm|10|10
158333|brodi_-_epic.xm|10|10
65210|bst_saka.it|10|10
143061|bubbles.xm|10|10
39320|buddha.it|10|10
66572|butterfl.mod|10|10
71166|bzam.s3m|10|10
34689|c-andy.xm|10|10
34718|c-doc.it|10|10
172203|calm_b4_the_storm.mod|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=4#mods
35033|camefrom.mod|10|10
86456|cant_stop_coming.mod|10|10
35233|carosel.xm|10|10
35641|ccmodern.mtm|10|10
70949|celestial_vibes.s3m|10|10
80254|charismofdark.mod|10|10
36279|chartsmix98.xm|10|10
36288|chase1.mod|10|10
36330|chcknbnk.mod|10|10
36346|check.mod|10|10
161979|checkered_subgliep.mod|10|10
36799|chipneve.xm|10|10
159015|chiptune01-last_chip_standing.it|10|10
163089|chrylian_-_imagine.mod|10|10
154090|cityspec.xm|10|10
161776|cja-hwil.xm|10|10
155920|ckalternative.it|10|10
37408|ckbattle.it|10|10
64998|ckout.it|10|10
159043|ckx.it|10|10
37631|class_fe.mod|10|10
80422|close_to_you.mod|10|10
146374|cloudcones.xm|10|10
91721|clubee_life_short.mod|10|10
137183|club_anthem2001.xm|10|10
137234|club_stompin_df_61.xm|10|10
82270|coffee_blues.mod|10|10
68796|colours.xm|10|10
38471|compo-boreal.xm|10|10
38620|compo_px.xm|10|10
38940|contrast.xm|10|10
39108|cor.mod|10|10
159594|coretex_-_home.xm|10|10
71418|corridor.s3m|10|10
107562|cortouchka.mod|10|10
139688|cosmic_outflow_2.xm|10|10
39236|cosmo.s3m|10|10
72661|crayons.s3m|10|10
122218|crazysexycool_.mod|10|10
155875|crimson_lotus.it|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=5#mods
78127|croatia2.mod|10|10
39827|crosroad.xm|10|10
161316|crystal_score_-_shadow.mod|10|10
40017|cs-mdnt.it|10|10
167712|ctrix_-_lemonfunk_evoke_2006.mod|10|10
167707|ctrix_-_phatcontroller_2009.mod|10|10
159850|cube_-_dreamscape.mod|10|10
40158|culture.mod|10|10
40248|cyb.mod|10|10
173498|cyber_cycler.xm|10|10
155627|cz-jinx.xm|10|10
34861|c_heaven.xm|10|10
165443|dalmet_-_glory.mod|10|10
155876|damask_rose.it|10|10
169444|dancin_ducks.xm|10|10
163557|darkman007_-_chipo_five.it|10|10
138995|davidian.xm|10|10
36662|db_toffe.xm|10|10
36889|ddream0.mod|10|10
139690|dead_flower.xm|10|10
95878|december_rain.mod|10|10
37078|declara.xm|10|10
37125|deep.xm|10|10
37127|deep2.it|10|10
66139|deeplydepressed.mod|10|10
37331|delight.mod|10|10
37449|demon.mod|10|10
105917|denaris_remix.mod|10|10
78751|dental_day.mod|10|10
171882|des_-_tune1.mod|10|10
37775|dev-ijgl.xm|10|10
38129|dgtlnnv1.mod|10|10
38145|dh_down.xm|10|10
38420|digsh.s3m|10|10
126786|dilemma_magnaruxius.mod|10|10
122184|dino.mod|10|10
38510|dipa-feel.xm|10|10
38549|diryx.it|10|10
96320|discodancing-ii.mod|10|10
96346|discodancing.mod|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=6#mods
38593|discodel.xm|10|10
38641|disill.mod|10|10
35327|distance.s3m|10|10
157695|dj_dark_-_generation.xm|10|10
157744|dj_dark_-_the_prophecy.xm|10|10
139794|dj_reptile_edit.xm|10|10
139486|dj_reptile_picotto.xm|10|10
39606|dmageofd.xm|10|10
39861|dnatrance-professional.xm|10|10
154494|doh_thie.it|10|10
173230|doomination.s3m|10|10
40063|doomsday.s3m|10|10
145832|doom_2-game_over.xm|10|10
74333|dorado.s3m|10|10
170814|drakangui.it|10|10
67479|drax-zarathustra.xm|10|10
40390|dream8b.it|10|10
108682|dreamer_midas.mod|10|10
67489|dreamfish-sanxion.mod|10|10
40538|dreamsco.mod|10|10
41162|ds_tfc.xm|10|10
41273|dt_again.xm|10|10
41770|dusk.s3m|10|10
166935|dxn-mw-4-cave.it|10|10
160522|dynamix_-_iwndtkot.xm|10|10
72439|e-79014.s3m|10|10
41010|edymion5vocal.xm|10|10
148579|eehana.xm|10|10
91295|einsteinium-12.mod|10|10
169665|electronbrush.it|10|10
41590|eliminat.mod|10|10
41760|elw-sick.xm|10|10
41891|emotion.mod|10|10
89762|empty_space.mod|10|10
104125|enlightenment.mod|10|10
40851|f-tube.mod|10|10
41077|faeries.it|10|10
91286|faggots_universe.mod|10|10
41177|fall.xm|10|10
41210|fallenh.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=7#mods
123946|false_visage_ext_.mod|10|10
150236|farewell_my_reverie.xm|10|10
161321|fatigue.xm|10|10
41544|fb-drunkmonkey.it|10|10
41671|fear2.mod|10|10
41930|ff3.it|10|10
89767|fight.mod|10|10
